tam_entrada, resultado, tempo_usuario, tempo_sistema
296, 29, 0.0071780, 0.0000000
297, 29, 0.0074030, 0.0000000
298, 29, 0.0109860, 0.0000000
299, 29, 0.0077520, 0.0000000
300, 29, 0.0094920, 0.0000000
301, 29, 0.0077700, 0.0000000
302, 29, 0.0075050, 0.0000000
303, 29, 0.0079680, 0.0000000
304, 29, 0.0076910, 0.0000000
305, 29, 0.0084480, 0.0000000
306, 29, 0.0107620, 0.0000000
307, 29, 0.0080810, 0.0000000
308, 29, 0.0079260, 0.0000000
309, 29, 0.0103850, 0.0000000
310, 29, 0.0131790, 0.0000000
311, 30, 0.0079570, 0.0000000
312, 30, 0.0088650, 0.0000000
313, 30, 0.0080740, 0.0000000
314, 30, 0.0085590, 0.0000000
315, 30, 0.0083720, 0.0000000
316, 30, 0.0092110, 0.0000000
317, 31, 0.0082230, 0.0000000
318, 31, 0.0086330, 0.0000000
319, 31, 0.0083600, 0.0000000
320, 31, 0.0088670, 0.0000000
321, 31, 0.0119430, 0.0000000
322, 31, 0.0089370, 0.0000000
323, 31, 0.0095590, 0.0000000
324, 31, 0.0086380, 0.0000000
325, 31, 0.0102240, 0.0000000
326, 31, 0.0139550, 0.0000000
327, 31, 0.0094690, 0.0000000
328, 31, 0.0095080, 0.0000000
329, 31, 0.0088540, 0.0000000
330, 31, 0.0116930, 0.0000000
331, 31, 0.0159780, 0.0000000
332, 31, 0.0095380, 0.0000000
333, 31, 0.0096070, 0.0000000
334, 31, 0.0101440, 0.0000000
335, 31, 0.0114100, 0.0000000
336, 31, 0.0138100, 0.0000000
337, 31, 0.0105870, 0.0000000
338, 31, 0.0093740, 0.0000000
339, 31, 0.0102550, 0.0000000
340, 31, 0.0128700, 0.0000000
341, 31, 0.0096840, 0.0000000
342, 31, 0.0142170, 0.0000000
343, 31, 0.0102470, 0.0000000
344, 32, 0.0098120, 0.0000000
345, 32, 0.0113080, 0.0000000
346, 32, 0.0104560, 0.0000000
347, 32, 0.0106750, 0.0000000
348, 32, 0.0107560, 0.0000000
349, 32, 0.0124120, 0.0000000
350, 32, 0.0111910, 0.0000000
351, 32, 0.0113490, 0.0000000
352, 32, 0.0107410, 0.0000000
353, 32, 0.0101590, 0.0000000
354, 32, 0.0109920, 0.0000000
355, 32, 0.0109410, 0.0000000
356, 32, 0.0103790, 0.0000000
357, 32, 0.0113680, 0.0000000
358, 32, 0.0131830, 0.0000000
359, 32, 0.0120110, 0.0000000
360, 32, 0.0110170, 0.0000000
361, 32, 0.0109740, 0.0000000
362, 32, 0.0118640, 0.0000000
363, 32, 0.0138670, 0.0000000
364, 32, 0.0120450, 0.0000000
365, 32, 0.0112490, 0.0000000
366, 32, 0.0119360, 0.0000000
367, 32, 0.0154220, 0.0000000
368, 32, 0.0117080, 0.0000000
369, 32, 0.0114310, 0.0000000
370, 32, 0.0114320, 0.0000000
371, 32, 0.0119430, 0.0000000
372, 32, 0.0114850, 0.0000000
373, 32, 0.0121950, 0.0000000
374, 32, 0.0115390, 0.0000000
375, 32, 0.0139340, 0.0000000
376, 32, 0.0119810, 0.0000000
377, 32, 0.0128630, 0.0000000
378, 32, 0.0116350, 0.0000000
379, 32, 0.0142020, 0.0000000
380, 32, 0.0121330, 0.0000000
381, 32, 0.0126010, 0.0000000
382, 32, 0.0119160, 0.0000000
383, 32, 0.0148510, 0.0000000
384, 32, 0.0141970, 0.0000000
385, 32, 0.0155440, 0.0000000
386, 32, 0.0210050, 0.0000000
387, 32, 0.0135700, 0.0000000
388, 32, 0.0130630, 0.0000000
389, 32, 0.0133150, 0.0000000
390, 32, 0.0175010, 0.0000000
391, 32, 0.0132980, 0.0000000
392, 33, 0.0125860, 0.0000000
393, 33, 0.0151400, 0.0000000
394, 33, 0.0158550, 0.0000000
395, 33, 0.0134660, 0.0000000
396, 33, 0.0135410, 0.0000000
397, 33, 0.0165230, 0.0000000
398, 33, 0.0133370, 0.0000000
399, 34, 0.0130700, 0.0000000
400, 34, 0.0140090, 0.0000000
401, 34, 0.0146000, 0.0000000
402, 34, 0.0137110, 0.0000000
403, 34, 0.0134960, 0.0000000
404, 34, 0.0160020, 0.0000000
